"score","seed","alg","task","real"
1569,98128,"EvoCom","Decision","simulation"
21784,78246,"EvoCom","Decision","simulation"
20245,5081,"EvoCom","Decision","simulation"
5046,51028,"EvoCom","Decision","simulation"
22080,28832,"EvoCom","Decision","simulation"
20931,37383,"EvoCom","Decision","simulation"
4895,34385,"EvoCom","Decision","simulation"
2541,96043,"EvoCom","Decision","simulation"
20881,95415,"EvoCom","Decision","simulation"
2844,9221,"EvoCom","Decision","simulation"
20510,16672,"EvoCom","Decision","simulation"
7758,14671,"EvoCom","Decision","simulation"
9373,79820,"EvoCom","Decision","simulation"
17737,7583,"EvoCom","Decision","simulation"
6698,58134,"EvoCom","Decision","simulation"
5537,98128,"Gianduja","Decision","simulation"
21410,78246,"Gianduja","Decision","simulation"
14673,5081,"Gianduja","Decision","simulation"
22197,51028,"Gianduja","Decision","simulation"
20590,28832,"Gianduja","Decision","simulation"
21554,37383,"Gianduja","Decision","simulation"
22263,34385,"Gianduja","Decision","simulation"
21064,96043,"Gianduja","Decision","simulation"
21013,95415,"Gianduja","Decision","simulation"
22165,9221,"Gianduja","Decision","simulation"
20920,16672,"Gianduja","Decision","simulation"
21764,14671,"Gianduja","Decision","simulation"
20535,79820,"Gianduja","Decision","simulation"
22181,7583,"Gianduja","Decision","simulation"
20167,58134,"Gianduja","Decision","simulation"
4799,98128,"Chocolate","Decision","simulation"
21062,78246,"Chocolate","Decision","simulation"
22455,5081,"Chocolate","Decision","simulation"
3320,51028,"Chocolate","Decision","simulation"
22431,28832,"Chocolate","Decision","simulation"
17943,37383,"Chocolate","Decision","simulation"
6802,34385,"Chocolate","Decision","simulation"
23258,96043,"Chocolate","Decision","simulation"
6921,95415,"Chocolate","Decision","simulation"
12691,9221,"Chocolate","Decision","simulation"
7752,16672,"Chocolate","Decision","simulation"
22554,14671,"Chocolate","Decision","simulation"
22516,79820,"Chocolate","Decision","simulation"
22421,7583,"Chocolate","Decision","simulation"
21867,58134,"Chocolate","Decision","simulation"
