| Num of exp | xml | seed | controller
| ---- | ---- | ---- | ----
| 0 | Robotfiles/automodegianduja_decision_visu_96043.xml | 96043 | automode_choco
| 1 | Robotfiles/automodegianduja_decision_visu_28832.xml | 28832 | epuck_nn_controller
| 2 | Robotfiles/automodegianduja_decision_visu_5081.xml | 5081 | automode_choco
| 3 | Robotfiles/automodegianduja_decision_visu_9221.xml | 9221 | automode_gianduja
| 4 | Robotfiles/automodegianduja_decision_visu_98128.xml | 98128 | automode_choco
| 5 | Robotfiles/automodegianduja_decision_visu_37383.xml | 37383 | automode_choco
| 6 | Robotfiles/automodegianduja_decision_visu_51028.xml | 51028 | epuck_nn_controller
| 7 | Robotfiles/automodegianduja_decision_visu_96043.xml | 96043 | epuck_nn_controller
| 8 | Robotfiles/automodegianduja_decision_visu_95415.xml | 95415 | automode_choco
| 9 | Robotfiles/automodegianduja_decision_visu_98128.xml | 98128 | epuck_nn_controller
| 10 | Robotfiles/automodegianduja_decision_visu_37383.xml | 37383 | automode_gianduja
| 11 | Robotfiles/automodegianduja_decision_visu_95415.xml | 95415 | automode_gianduja
| 12 | Robotfiles/automodegianduja_decision_visu_78246.xml | 78246 | automode_choco
| 13 | Robotfiles/automodegianduja_decision_visu_37383.xml | 37383 | epuck_nn_controller
| 14 | Robotfiles/automodegianduja_decision_visu_96043.xml | 96043 | automode_gianduja
| 15 | Robotfiles/automodegianduja_decision_visu_9221.xml | 9221 | automode_choco
| 16 | Robotfiles/automodegianduja_decision_visu_9221.xml | 9221 | epuck_nn_controller
| 17 | Robotfiles/automodegianduja_decision_visu_78246.xml | 78246 | epuck_nn_controller
| 18 | Robotfiles/automodegianduja_decision_visu_28832.xml | 28832 | automode_gianduja
| 19 | Robotfiles/automodegianduja_decision_visu_95415.xml | 95415 | epuck_nn_controller
| 20 | Robotfiles/automodegianduja_decision_visu_78246.xml | 78246 | automode_gianduja
| 21 | Robotfiles/automodegianduja_decision_visu_34385.xml | 34385 | automode_choco
| 22 | Robotfiles/automodegianduja_decision_visu_34385.xml | 34385 | automode_gianduja
| 23 | Robotfiles/automodegianduja_decision_visu_98128.xml | 98128 | automode_gianduja
| 24 | Robotfiles/automodegianduja_decision_visu_51028.xml | 51028 | automode_choco
| 25 | Robotfiles/automodegianduja_decision_visu_5081.xml | 5081 | epuck_nn_controller
| 26 | Robotfiles/automodegianduja_decision_visu_34385.xml | 34385 | epuck_nn_controller
| 27 | Robotfiles/automodegianduja_decision_visu_5081.xml | 5081 | automode_gianduja
| 28 | Robotfiles/automodegianduja_decision_visu_28832.xml | 28832 | automode_choco
| 29 | Robotfiles/automodegianduja_decision_visu_51028.xml | 51028 | automode_gianduja
